;0;1
0;http://www.journaldelenvironnement.net/article/des-multinationales-s-allient-contre-les-dechets-plastiques,95698;2019/01/16
1;http://www.journaldelenvironnement.net/article/la-nouvelle-caledonie-interdit-les-plastiques-jetables,95461;2019/02/01
2;http://www.journaldelenvironnement.net/article/l-union-europeenne-adopte-la-directive-sur-les-plastiques-jetables,95368;2018/12/19
3;http://www.journaldelenvironnement.net/article/londres-veut-penaliser-les-plastiques-difficiles-a-recycler,95326;2018/12/18
4;http://www.journaldelenvironnement.net/article/oceans-le-barrage-flottant-n-arrete-pas-les-plastiques,95386;2018/12/20
5;http://www.journaldelenvironnement.net/article/quel-avenir-pour-les-plastiques-bio-sources,95110;2018/06/12
6;http://www.journaldelenvironnement.net/article/plastiques-l-extension-des-consignes-de-tri-gagne-du-terrain,94552;2018/10/31
7;http://www.journaldelenvironnement.net/article/les-eurodeputes-interdisent-deux-plastiques-supplementaires,94408;2018/10/24
8;http://www.journaldelenvironnement.net/article/publication-de-la-loi-egalim-moins-de-plastiques-et-de-produits-phytosanitaires,94711;2018/12/11
9;http://www.journaldelenvironnement.net/article/plastiques-a-usage-unique-la-liste-s-allonge-au-parlement-europeen,94141;2018/11/10
10;http://www.journaldelenvironnement.net/article/les-deputes-mettent-la-fin-des-plastiques-jetables-a-leur-sauce,93694;2018/09/19
11;http://www.journaldelenvironnement.net/article/extraire-les-plastiques-flottants-une-goutte-d-eau-dans-l-ocean,93520;2018/10/09
12;http://www.journaldelenvironnement.net/article/pepsi-utilisera-50-de-plastique-recycle-en-france-en-2025,93523;2018/10/09
13;http://www.journaldelenvironnement.net/article/recyclage-un-coup-de-pouce-pour-les-emballages-plastique-et-les-cartouches-d-encre,93277;2018/08/27
14;http://www.journaldelenvironnement.net/article/lutte-contre-le-plastique-jetable-que-peuvent-faire-les-collectivites,93031;2018/07/26
15;http://www.journaldelenvironnement.net/article/dechets-plastique-et-en-plus-ils-renforcent-l-effet-de-serre,93187;2018/02/08
16;http://www.journaldelenvironnement.net/article/plastiques-face-aux-critiques-l-industrie-fait-la-sourde-oreille,92281;2018/06/19
17;http://www.journaldelenvironnement.net/article/les-villes-zero-plastique-essaiment-au-royaume-uni,92887;2018/07/19
18;http://www.journaldelenvironnement.net/article/plastique-recycle-incorpore-certains-industriels-doublent-la-mise,92521;2018/02/07
19;http://www.journaldelenvironnement.net/article/plastiques-deux-nouvelles-resines-a-l-epreuve-du-recyclage,92488;2018/06/28
20;http://www.journaldelenvironnement.net/article/carrefour-s-engage-contre-les-plastiques-jetables,91969;2018/01/06
21;http://www.journaldelenvironnement.net/article/la-mediterranee-est-asphyxiee-aux-dechets-plastique,92098;2018/08/06
22;http://www.journaldelenvironnement.net/article/vous-preferez-les-moules-avec-ou-sans-plastique,92125;2018/11/06
23;http://www.journaldelenvironnement.net/article/plastique-une-dizaine-de-produits-jetables-dans-le-collimateur-de-bruxelles,91873;2018/05/28
24;http://www.journaldelenvironnement.net/article/monaco-interdit-les-pailles-en-plastique,92140;2018/11/06
25;http://www.journaldelenvironnement.net/article/un-pacte-britannique-sur-la-reduction-des-plastiques,91501;2018/04/26
26;http://www.journaldelenvironnement.net/article/le-carbone-et-les-plastiques-pourraient-financer-le-budget-europeen,91561;2018/02/05
27;http://www.journaldelenvironnement.net/article/plastiques-marins-le-monstre-du-pacifique-grossit-a-vue-d-il,91033;2018/03/22
28;http://www.journaldelenvironnement.net/article/un-plastique-recyclable-a-l-infini,91540;2018/04/30
29;http://www.journaldelenvironnement.net/article/bruxelles-s-attaque-aux-objets-en-plastique-jetables,91552;2018/02/05
30;http://www.journaldelenvironnement.net/article/plastique-un-laboratoire-cree-par-hasard-une-enzyme-gloutonne,91360;2018/04/17
31;http://www.journaldelenvironnement.net/article/la-commission-europeenne-s-attaque-aux-plastiques,89668;2018/01/16
