;0;1
0;https://www.lesechos.fr/monde/enjeux-internationaux/0600111099114-oceans-la-guerre-contre-le-plastique-a-commence-2226114.php;2018/11/30
1;https://www.lesechos.fr/12/01/2018/LesEchosWeekEnd/00105-008-ECWE_un-barrage-contre-le-plastique.htm?texte=plastique ocean;2018/12/01
2;https://www.lesechos.fr/idees-debats/sciences-prospective/0301412699980-des-pistes-pour-debarrasser-les-oceans-du-plastique-2160371.php;2018/12/03
3;https://www.lesechos.fr/idees-debats/cercle/0301133284134-ce-plastique-qui-pourrait-sauver-les-oceans-2144070.php;2018/11/01
4;https://www.lesechos.fr/idees-debats/cercle/0600020909700-pollution-des-microplastiques-lettre-ouverte-a-francois-de-rugy-2215947.php;2018/10/23
5;https://www.lesechos.fr/idees-debats/cercle/cercle-185777-plastique-dans-les-oceans-devenez-incollables-2198260.php;2018/08/13
6;https://www.lesechos.fr/industrie-services/energie-environnement/0600526737028-attaquees-les-multinationales-du-plastique-organisent-leur-riposte-2236801.php;2019/01/16
7;https://www.lesechos.fr/12/04/2016/lesechos.fr/021834184112_le-top-10-des-da-chets-collecta-s-sur-les-plages.htm?texte=plastique ocean;2016/12/04
8;https://www.lesechos.fr/industrie-services/conso-distribution/0600525807216-nestle-va-supprimer-les-pailles-en-plastique-de-ses-produits-2236734.php;2019/01/16
9;https://www.lesechos.fr/pme-regions/outre-mer/0600423252348-la-nouvelle-caledonie-bannit-a-son-tour-les-plastiques-a-usage-unique-2232888.php;2018/12/28
10;https://www.lesechos.fr/industrie-services/energie-environnement/0600457313487-guerre-contre-le-plastique-ou-en-est-on-2234020.php;2019/06/01
11;https://www.lesechos.fr/industrie-services/energie-environnement/0301784429196-une-start-up-norvegienne-transforme-le-plastique-en-carburant-2182698.php;2018/10/06
12;https://www.lesechos.fr/industrie-services/energie-environnement/0600302284542-les-coquilles-saint-jacques-aussi-mangent-du-plastique-2228383.php;2018/08/12
13;https://www.lesechos.fr/pme-regions/actualite-pme/0600301425388-les-pme-de-la-plasturgie-face-au-defi-du-plastique-recycle-2234255.php;2019/07/01
14;https://www.lesechos.fr/31/03/2016/lesechos.fr/021807299289_sacs-en-plastique---chronique-da--une-mort-annonca-e.htm?texte=plastique ocean;2016/03/31
15;https://www.lesechos.fr/industrie-services/energie-environnement/0600160127127-au-mexique-le-plastique-recycle-sert-a-construire-des-maisons-2226344.php;2018/02/12
16;https://www.lesechos.fr/12/03/2016/lesechos.fr/021760474290_la-bacta-rie-mangeuse-de-plastique-qui-pourrait-sauver-la-plana-te.htm?texte=plastique ocean;2016/12/03
17;https://www.lesechos.fr/supplement/20181203/supplement/060207608619-les-plastiques-recycles-donnent-matiere-a-construction-bon-marche-2226599.php;2018/03/12
18;https://www.lesechos.fr/06/10/2017/LesEchos/22545-073-ECH_veolia-compte-quintupler-son-activita--de-recyclage-des-plastiques.htm?texte=plastique ocean;2017/06/10
19;https://www.lesechos.fr/09/01/2017/LesEchos/22357-039-ECH_il-est-interdit-d-interdire-les-sacs-plastiques-dans-le-michigan.htm?texte=plastique ocean;2017/09/01
20;https://www.lesechos.fr/23/11/2017/LesEchos/22578-064-ECH_jean-marc-boursier-pra-sident-de-la-fa-da-ration-europa-enne-fead---a--il-va-bien-falloir-ra-nover-l-organisation-de-la-collecte-et-du-tri-en-france-a.htm?texte=plastique ocean;2017/11/23
21;https://www.lesechos.fr/09/12/2016/LesEchos/22336-114-ECH_la-tra-s-forte-menace-des-microplastiques.htm?texte=plastique ocean;2016/09/12
22;https://www.lesechos.fr/29/05/2017/LesEchos/22454-034-ECH_la-da-gradation-des-oca-ans--un-enjeu-mondial.htm?texte=plastique ocean;2017/05/29
