;0
0;http://www.journaldelenvironnement.net/article/le-rejet-en-mer-de-dechets-de-dragage-juge-illegal-dans-le-finistere,47115
1;http://www.journaldelenvironnement.net/article/continents-de-plastique-par-ici-la-sortie,70368
2;http://www.journaldelenvironnement.net/article/plastiques-marins-le-monstre-du-pacifique-grossit-a-vue-d-il,91033
3;http://www.journaldelenvironnement.net/article/des-fontaines-d-eau-contre-les-dechets-plastique,90031
4;http://www.journaldelenvironnement.net/article/dechets-les-eaux-des-caraibes-bientot-reglementees,17288
5;http://www.journaldelenvironnement.net/article/plastiques-la-pollution-marine-coute-au-moins-10-md,47376
6;http://www.journaldelenvironnement.net/article/micro-plastiques-une-pollution-generalisee-a-la-surface-des-oceans,47764
7;http://www.journaldelenvironnement.net/article/les-oiseaux-de-mer-attires-par-l-odeur-des-micro-plastiques,76527
8;http://www.journaldelenvironnement.net/article/alerte-aux-plaques-de-dechets-dans-le-pacifique-sud,84664
9;http://www.journaldelenvironnement.net/article/plastiques-en-mer-la-sante-des-huitres-s-en-ressent,66678
10;http://www.journaldelenvironnement.net/article/du-plastique-cache-dans-l-eau-du-robinet,85864
11;http://www.journaldelenvironnement.net/article/90-des-bouteilles-d-eau-contiennent-du-plastique,90919
12;http://www.journaldelenvironnement.net/article/la-concentration-des-dechets-plastique-a-explose-dans-le-pacifique,28952
13;http://www.journaldelenvironnement.net/article/dechets-la-corse-a-trouve-preneur-sur-le-continent,93718
14;http://www.journaldelenvironnement.net/article/san-francisco-veut-limiter-les-bouteilles-d-eau-en-plastique,43652
15;http://www.journaldelenvironnement.net/article/les-micro-plastiques-affectent-aussi-les-organismes-d-eau-douce,51400
16;http://www.journaldelenvironnement.net/article/les-elus-investissent-toujours-plus-dans-l-eau-et-les-dechets,15835
17;http://www.journaldelenvironnement.net/article/plastiques-en-mer-mieux-vaut-agir-pres-des-cotes,66252
18;http://www.journaldelenvironnement.net/article/premiere-cartographie-de-la-pollution-plastique-des-oceans,81606
19;http://www.journaldelenvironnement.net/article/extraire-les-plastiques-flottants-une-goutte-d-eau-dans-l-ocean,93520
20;http://www.journaldelenvironnement.net/article/microplastiques-le-royaume-uni-alimente-l-ocean-arctique,72324
21;http://www.journaldelenvironnement.net/article/dechets-les-vieux-serpents-de-mer-au-grenelle,11262
22;http://www.journaldelenvironnement.net/article/la-corse-cherche-a-envoyer-ses-dechets-sur-le-continent,93064
