;0
0;https://www.lemonde.fr//planete/article/2016/07/06/vingt-mille-tonnes-de-dechets-deverses-dans-un-lac-de-suzhou-en-chine_4965093_3244.html
1;https://www.lemonde.fr//planete/article/2016/03/31/la-france-lance-un-plan-de-bataille-contre-les-sacs-en-plastique_4893586_3244.html
2;https://www.lemonde.fr//planete/article/2016/08/05/une-ong-veut-faire-annuler-l-autorisation-par-l-ue-d-un-phtalate-dans-le-plastique-recycle_4978986_3244.html
3;https://www.lemonde.fr//planete/article/2016/10/18/cotons-tiges-bibles-et-bouteilles-plastiques-sur-les-traces-de-dechets-d-eau-douce_5015747_3244.html
4;https://www.lemonde.fr//planete/article/2016/10/01/le-sulfureux-parcours-du-telephone-portable-des-mines-aux-filieres-clandestines-de-dechets_5006655_3244.html
5;https://www.lemonde.fr//planete/article/2017/03/13/a-roubaix-des-pionniers-du-zero-dechet-citoyen_5093708_3244.html
6;https://www.lemonde.fr//planete/article/2016/04/22/six-tonnes-de-dechets-hautement-toxiques-decouverts-dans-une-entreprise-de-la-somme_4907379_3244.html
7;https://www.lemonde.fr//planete/article/2017/02/22/dechets-nucleaires-a-bure-les-occupants-du-bois-lejuc-ne-seront-pas-expulses-dans-l-immediat_5083655_3244.html
8;https://www.lemonde.fr//planete/article/2017/03/13/ecodds-la-sensibilisation-au-tri-des-dechets-chimiques_5093712_3244.html
9;https://www.lemonde.fr//planete/article/2017/02/22/les-oceans-pollues-par-des-particules-invisibles-de-plastique_5083321_3244.html
10;https://www.lemonde.fr//planete/article/2016/07/22/les-dechets-alimentaires-des-francais-un-gisement-vert-inexploite_4973651_3244.html
11;https://www.lemonde.fr//planete/article/2016/06/30/ce-qu-il-faut-savoir-sur-la-fin-programmee-des-sacs-en-plastique_4961421_3244.html
12;https://www.lemonde.fr//planete/article/2016/07/07/a-bure-evacuation-des-militants-opposes-au-stockage-de-dechets-radioactifs_4965323_3244.html
13;https://www.lemonde.fr//planete/article/2016/04/12/pollution-marine-les-plastiques-premiers-predateurs-des-oceans-alerte-une-ong_4900305_3244.html
14;https://www.lemonde.fr//planete/article/2017/04/19/dans-l-arctique-aussi-les-dechets-plastiques-s-accumulent_5113687_3244.html
15;https://www.lemonde.fr//planete/article/2017/05/22/dechets-nucleaires-a-bure-la-justice-confirme-l-illegalite-des-travaux-dans-le-bois-lejuc_5131997_3244.html
